elan_nomresi_list,seher,marka,model,buraxilis_ili,ban_novu,reng,muherrik,muherrik_gucu,yanacaq_novu,yurus,suretler_qutusu,oturucu,yeni,qiymet
6600336,Bakı,Chevrolet,Cruze,2013,Sedan,Ağ,1.4 L,141 a.g.,Benzin,175 000 km,Avtomat,Ön,Xeyr,14 400 AZN
6600462,Gəncə,Mercedes,E 200,1997,Sedan,Gümüşü,2.0 L,136 a.g.,Benzin,285 700 km,Avtomat,Arxa,Xeyr,12 700 AZN
6596611,Bakı,Mercedes,C 180,1998,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,445 000 km,Avtomat,Arxa,Xeyr,11 500 AZN
6599995,Quba,LADA (VAZ),2107,1991,Sedan,Ağ,1.6 L,75 a.g.,Benzin,100 000 km,Mexaniki,Arxa,Xeyr,3 900 AZN
6600460,Bakı,Mercedes,C 220,2000,Universal,Göy,2.2 L,125 a.g.,Dizel,633 000 km,Avtomat,Arxa,Xeyr,12 500 AZN
6599961,Bakı,Volkswagen,Touareg,2009,Offroader / SUV,Mavi,4.2 L,350 a.g.,Benzin,196 000 km,Avtomat,Arxa,Xeyr,21 800 AZN
6600458,Bakı,Toyota,Corolla,2015,Sedan,Tünd qırmızı,1.8 L,136 a.g.,Benzin,142 800 km,Avtomat,Ön,Xeyr,17 800 AZN
6600457,Sumqayıt,Skoda,Octavia,2013,Sedan,Ağ,1.2 L,105 a.g.,Benzin,258 000 km,Mexaniki,Ön,Xeyr,12 500 AZN
6600252,Bakı,Toyota,Corolla,2007,Hetçbek / Liftbek,Qara,1.4 L,90 a.g.,Dizel,226 954 km,Mexaniki,Ön,Xeyr,13 900 AZN
6600192,Bakı,Hyundai,Elantra,2015,Sedan,Yaş Asfalt,1.8 L,150 a.g.,Benzin,83 000 km,Avtomat,Ön,Xeyr,21 500 AZN
6598152,Mingəçevir,Mercedes,E 350,2007,Sedan,Qara,3.5 L,272 a.g.,Benzin,207 000 km,Avtomat,Tam,Xeyr,21 000 AZN
6600200,Qax,Toyota,Prado,2005,Offroader / SUV,Gümüşü,3.0 L,173 a.g.,Dizel,235 000 km,Avtomat,Tam,Xeyr,20 000 $
